Time (s),Motor Speed (RPM),Load Cell 1,Load Cell 2
22.671,50,-1.0078,-1.1998
22.704,50,-.966,-1.2284
22.737,50,-.9426,-1.2076
22.77,50,-.965,-1.1836
22.803,50,-1.0078,-1.2222
22.836,50,-.9582,-1.1937
22.869,50,-.9725,-1.1888
22.902,50,-.976,-1.2024
22.935,50,-1.0185,-1.2319
22.968,50,-.9631,-1.2044
23.001,50,-.9579,-1.1966
23.034,50,-1.0185,-1.1904
23.067,50,-.9579,-1.2277
23.1,50,-.9566,-1.2063
23.133,50,-.9537,-1.1859
23.166,50,-.9777,-1.2397
23.199,50,-.9919,-1.1989
23.232,50,-.9611,-1.1914
23.265,50,-.9923,-1.217
23.298,50,-.9864,-1.2566
23.331,50,-1.0013,-1.1771
23.364,50,-.9472,-1.1859
23.397,50,-1.0072,-1.2232
23.43,50,-.9997,-1.1765
23.463,50,-.9644,-1.1956
23.496,50,-.9556,-1.1979
23.529,50,-1.0052,-1.2589
23.562,50,-.9948,-1.1878
23.595,50,-.9465,-1.23
23.628,50,-.9906,-1.2138
23.661,50,-.9786,-1.2329
23.694,50,-.9611,-1.1839
23.727,50,-.9498,-1.2005
23.76,50,-.9854,-1.2465
23.793,50,-.9832,-1.1907
23.826,50,-.9809,-1.1781
23.859,50,-.9699,-1.204
23.892,50,-.9932,-1.2426
23.925,50,-.9783,-1.1895
23.958,50,-.9786,-1.1969
23.991,50,-.9848,-1.2238
24.024,50,-.9348,-1.1807
24.057,50,-.9747,-1.1836
24.09,50,-.9452,-1.1989
24.123,50,-1.0321,-1.1972
24.156,50,-.9601,-1.2264
24.189,50,-.9631,-1.1937
24.222,50,-.9932,-1.2079
24.255,50,-.9932,-1.2579
24.288,50,-.9718,-1.1904
24.321,50,-.9537,-1.1577
24.354,50,-.9874,-1.218
24.387,50,-.9676,-1.2267
24.42,50,-.9582,-1.1882
24.453,50,-.9598,-1.1823
24.486,50,-1.0043,-1.2206
24.519,50,-.9507,-1.2044
24.552,50,-.9809,-1.1787
24.585,50,-.9945,-1.204
24.618,50,-1.0075,-1.2284
24.651,50,-.9605,-1.1843
24.684,50,-.9449,-1.2115
24.717,50,-.9897,-1.2332
24.75,50,-.9647,-1.2183
24.783,50,-.9913,-1.181
24.816,50,-.9686,-1.194
24.849,50,-.9773,-1.254
24.882,50,-1.0033,-1.1966
24.915,50,-.952,-1.2105
24.948,50,-.9923,-1.2261
24.981,50,-.9984,-1.242
25.014,50,-.9608,-1.2066
25.047,50,-.9527,-1.2027
25.08,50,-.9738,-1.2524
25.113,50,-.9841,-1.1966
25.146,50,-.9757,-1.1891
25.179,50,-.9644,-1.1943
25.212,50,-1.0046,-1.218
25.245,50,-.9851,-1.1664
25.278,50,-.9569,-1.1937
25.311,50,-.9864,-1.2063
25.344,50,-.989,-1.204
25.377,50,-.9919,-1.1557
25.41,50,-.9465,-1.1687
25.443,50,-1.0172,-1.1538
25.476,50,-.9728,-1.182
25.509,50,-.9566,-1.0549
25.542,50,-.9514,-1.2099
25.575,50,-1.0344,-1.1165
25.608,50,-.9634,-1.1687
25.641,50,-.9994,-1.1097
25.674,50,-.9783,-1.2063
25.707,50,-1.0159,-1.1093
25.74,50,-.9001,-1.144
25.773,50,-.9828,-1.1194
25.806,50,-1.0176,-1.2047
25.839,50,-.9747,-1.1804
25.872,50,-.9936,-1.1505
25.905,50,-.9835,-1.2274
25.938,50,-.9751,-1.2595
25.971,50,-.9767,-1.2122
26.004,50,-.9634,-1.1959
26.037,50,-.9686,-1.2495
26.07,50,-.9608,-1.2524
26.103,50,-.9605,-1.2128
26.136,50,-.929,-1.2297
26.169,50,-.9916,-1.2478
26.202,50,-.9601,-1.2407
26.235,50,-.9514,-1.2144
26.268,50,-.9498,-1.2501
26.301,50,-.9978,-1.2543
26.334,50,-.9387,-1.2475
26.367,50,-.9468,-1.217
26.4,50,-.9731,-1.2679
26.433,50,-.9433,-1.2339
26.466,50,-.9524,-1.2135
26.499,50,-.9601,-1.193
26.532,50,-1,-1.2345
26.565,50,-.9537,-1.2076
26.598,50,-.9696,-1.1843
26.631,50,-.9595,-1.2313
26.664,50,-.9913,-1.2225
26.697,50,-.9446,-1.205
26.73,50,-.9611,-1.1852
26.763,50,-.9806,-1.2702
26.796,50,-.9864,-1.1736
26.829,50,-.9692,-1.1911
26.862,50,-.9696,-1.1849
26.895,50,-1.0052,-1.2297
26.928,50,-.9757,-1.1982
26.961,50,-.9592,-1.2057
26.994,50,-.9877,-1.2297
